Variant,Type,Disease,PMID
http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.1,Neurological disorder,Huntington disease (HD),http://www.ncbi.nlm.nih.gov/pubmed/21969577
http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.2,Cancer,Melanoma,http://www.ncbi.nlm.nih.gov/pubmed/21179167
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.0,Cancer,Multiple,http://www.ncbi.nlm.nih.gov/pubmed/8001738
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.0,Cancer,Breast cancer,http://www.ncbi.nlm.nih.gov/pubmed/16158288
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1x,Cancer,Neuroendocrine tumors (NETs),http://www.ncbi.nlm.nih.gov/pubmed/19108733
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x,Cancer,B cell chronic lymphocytic leukemia,http://www.ncbi.nlm.nih.gov/pubmed/11426547
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x,Cancer,T cell prolymphocytic leukemia,http://www.ncbi.nlm.nih.gov/pubmed/11426547
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x,Cancer,Mantle cell lymphoma,http://www.ncbi.nlm.nih.gov/pubmed/11426547
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.x,Cancer,ALL,http://www.ncbi.nlm.nih.gov/pubmed/19005492
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z,Cancer,Breast cancer,http://www.ncbi.nlm.nih.gov/pubmed/20666725
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z,Cancer,Prostate cancer,http://www.ncbi.nlm.nih.gov/pubmed/21788347
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z,Cancer,B cell lymphomas,http://www.ncbi.nlm.nih.gov/pubmed/20709945
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A.Z,Cancer,Breast cancer,http://www.ncbi.nlm.nih.gov/pubmed/15608061
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A_type_1,Cancer,Hepatocellular carcinoma,http://www.ncbi.nlm.nih.gov/pubmed/21239733
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A_type_1,Cancer,Lung carcinomas,http://www.ncbi.nlm.nih.gov/pubmed/6542967
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A_type_2-A,Cancer,Hepatocellular carcinoma,http://www.ncbi.nlm.nih.gov/pubmed/21239733
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H2A_type_2-A,Cancer,Acute myeloid leukemia,http://www.ncbi.nlm.nih.gov/pubmed/6593094
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A,Cancer,Hepatocellular carcinoma,http://www.ncbi.nlm.nih.gov/pubmed/17535684
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A,Cancer,Humancolorectal cancer,http://www.ncbi.nlm.nih.gov/pubmed/12839935
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3-like_centromeric_protein_A,Cancer,Human testicular germ cell tumors,http://www.ncbi.nlm.nih.gov/pubmed/17970049
http://www.actrec.gov.in/histome/variants.php?variant=Histone_H3.3,Cancer,Breast cancer,http://www.ncbi.nlm.nih.gov/pubmed/12151336
