Statement,PubMed link,Infobase link
Levels of macroH2A1 decrease significantly in malignant cells that suggests that it plays a role in tumor suppression (PMID: 21179167),http://www.ncbi.nlm.nih.gov/pubmed/21179167,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.1
"It has a unique role in transcriptional regulation; reports suggest that although it marks the repressive regions of the chromatin, it is actually involved in signal dependent transcriptional activation (PMID: 20008927)",http://www.ncbi.nlm.nih.gov/pubmed/20008927,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.1
It is also reported to regulate the expression of HOXA cluster genes in pluripotent cells along with macroH2A2 (PMID: 19734898),http://www.ncbi.nlm.nih.gov/pubmed/19734898,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.1
"It plays a major role in the repression of transcription and inactivation of X chromosome by recruitment of other factors like PARP-1 (PMID: 17322296, PMID: 15897469)",http://www.ncbi.nlm.nih.gov/pubmed/17322296|http://www.ncbi.nlm.nih.gov/pubmed/15897469,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.1
Levels of macroH2A2 decrease significantly in malignant cells that suggests that it plays a role in tumour suppression (PMID: 21179167),http://www.ncbi.nlm.nih.gov/pubmed/21179167,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.2
It is also reported to regulate the expression of HOXA cluster genes in pluripotent cells along with macroH2A1 (PMID: 19734898),http://www.ncbi.nlm.nih.gov/pubmed/19734898,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.2
Shown to play an important role in predicting the recurrence of lung cancer (PMID: 19648962),http://www.ncbi.nlm.nih.gov/pubmed/19648962,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.2
It plays a significant role in the process of X chromosome inactivation (PMID: 11331621),http://www.ncbi.nlm.nih.gov/pubmed/11331621,http://www.actrec.gov.in/histome/variants.php?variant=Core_histone_macro-H2A.2
H1.0 has been observed in growth arrested cells. Its expression is replication independent and occurs throughout the cell cycle. Present on chromosome number 22. mRNA is polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.0
H1.0 accumulated majorly in the differentiated cells and its levels are drastically altered during tumorigenesis (PMID: 8001738),http://www.ncbi.nlm.nih.gov/pubmed/8001738,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.0
Also expressed in hematopoietic progenitor cells in human (PMID: 9013724),http://www.ncbi.nlm.nih.gov/pubmed/9013724,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.0
Recent report classifies it as a strong condensor of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.0
H1.1 expression is replication dependent. Its gene is present on cluster 1 on chromosome number 6 and mRNA is not polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.1
"Expressed in  Hassall's corpuscles of the thymus and at a very low levels in human testis (PMID: 1626339, PMID: 9324306)",http://www.ncbi.nlm.nih.gov/pubmed/1626339|http://www.ncbi.nlm.nih.gov/pubmed/9324306,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.1
There exists a rapid exchange of histone H1.1 on the chromatin fiber throughout the cell cycle (PMID: 11130728),http://www.ncbi.nlm.nih.gov/pubmed/11130728,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.1
A recent report classifies it as a weak condensor of chromatin (PMID: 19794910),http://www.ncbi.nlm.nih.gov/pubmed/19794910,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.1
H1.2 expression is replication dependent. Its gene is present in cluster 1 on chromosome number 6 and its mRNA is not polyadenylated (PMID: 19587527),http://www.ncbi.nlm.nih.gov/pubmed/19587527,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.2
H1.2 has another function apart from acting as a linker histone. It interacts directly with p53 and forms a repressor complex that represses transcription via multiple ways (PMID: 18258596),http://www.ncbi.nlm.nih.gov/pubmed/18258596,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.2
H1.2 is also shown to translocate inside mitochondria after sensing apoptotic signals (PMID: 17879944),http://www.ncbi.nlm.nih.gov/pubmed/17879944,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.2
Shown to be expressed at a higher level in many cell lines compared to other H1 variants (PMID: 9324306),http://www.ncbi.nlm.nih.gov/pubmed/9324306,http://www.actrec.gov.in/histome/variants.php?variant=Histone_H1.2
